Territory	Language	Language (English)	Vernacular Title	English Title	Home
India	தமிழ்	Tamil	Biblica® திறந்தநிலை தமிழ் சமகால பதிப்பு	Biblica® திறந்தநிலை தமிழ் சமகால பதிப்பு	tamtcv
India	தமிழ்	Tamil	புனித பைபிள் படிக்க எளிதாக	Tamil Easy Reading Version	tam2008
India	தமிழ்	Tamil	இண்டியன் ரிவைஸ்டு வெர்ஸன் (IRV) - தமிழ்	Tamil Indian Revised Version Bible	tam2017
India	తెలుగు	Telugu	హోలీ బైబిల్	Telugu Easy Reading Version	tel2010
India	తెలుగు	Telugu	ఇండియన్ రివైజ్డ్ వెర్షన్ (IRV) - తెలుగు -2019	Telugu Indian Revised Version Bible	tel2017
India	తెలుగు	Telugu	Biblica® ఉచిత తెలుగు సమకాలీన అనువాదం	Telugu OTSA	telotsa
India	Rana Tharu	Tharu, Rana	परमेस्वर को सच्चो वचन	Rana Tharu NT	thr
India	उर्दू	Urdu	किताबे-मुक़द्दस	Urdu Geo Bible, Hindi Script	urdgvh
India	Vaagri Booli	Vaagri Booli	ದೇವ್ನಿ ಖ್ಹಾಚಿ ವಚನ್	Vaagri Booli NT	vaa
India	Waddar	Waddar	वडार	Waddar Bible	wbq
India	मराठी	मराठी	Biblica® मराठी समकालीन स्वतंत्र संस्करण	Marathi: Biblica®	marc
India	ಕನ್ನಡ	ಕನ್ನಡ	ದೆವಾಚಿ ಖರಿ ಖಬರ್	Siddi NT	kans
India	മലയാളം	മലയാളം	Biblica® സ്വതന്ത്രം സമകാലിക മലയാളവിവർത്തനം	Malayalam Contemporary Bible	malc
Indonesia	Alune	Alune	Janji beluke	Alune NT	alpNT
Indonesia	Amarasi	Amarasi	Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut	Amarasi Bible	aaz
Indonesia	Ambai	Ambai	Sempaisi Ne Kaiwo Mirarebanai	Ambai NT	amk
Indonesia	Auye	Auye	Ogatamee Me Etokaa Gipii See Menaa	Auye: Ogatamee Me Etokaa Gipii See Menaa (Bible)	auu
Indonesia	Balantak	Balantak	Kitap molinas men ringkat na alaata'ala: perjanjian baru	Balantak NT	blzNT
Indonesia	Bambam	Bambam	Suha' Maseho: Kadadiam anna Pa'dandiam Bakahu	Bambam Bible	ptu
Indonesia	Pura	Blagar	Pura Alkitab	Pura Bible	beu
Indonesia	Rote Dela	Dela-Oenale	Rote Dela Alkitab	Rote Dela Bible	row
Indonesia	Dhao	Dhao	Dhao Alkitab	Dhao Bible	nfa
Indonesia	Fordata	Fordata	Surat Ralan na'a Vaidida	Fordata: Surat Ralan na'a Vaidida (New Testament)	frd
Indonesia	Hawu	Hawu	Maꞌu	Hawu Mark	hvn
Indonesia	Helong	Helong	Buk Niu In Hida Balu nol Dehet deng Apan-kloma ki in Dadi ka	Helong Bible	hegNTpo
Indonesia	bahasa Indonesia	Indonesian	Alkitab Yang Terbuka	Indonesian AYT Bible	indayt
Indonesia	bahasa Indonesia	Indonesian	Alkitab Terjemahan Sederhana Indonesia, Edisi Ketiga	Indonesian Bible (TSI)	ind
Indonesia	bahasa Indonesia	Indonesian	Alkitab Gratis untuk Semua	Indonesian Bible for All	indags
Indonesia	Kisar	Kisar	Makromod lalap lirna wawan	Kisar NT	kjeNT
Indonesia	Kupang Malay	Kupang Malay	Kupang Malay Bible	Kupang Malay Bible	mkn
Indonesia	Rote Lole	Lole	Rote Lole Alkitab	Rote Lole Bible	llg
Indonesia	Luang	Luang	Puka Lululi	Luang Bible	lex
Indonesia	Mai Brat	Mai Brat	Watum ro Tuhan Bosi ro Tna	Mai Brat: Watum ro Tuhan Bosi ro Tna (New Testament+)	ayz
Indonesia	Malay, Papuan	Malay, Papuan	Melayu Papua	Malay, Papuan: Melayu Papua (Bible)	pmy
Indonesia	Mamasa	Mamasa	Buku Masero: Pa'dandi Bakaru	Mamasa NT	mqjNT
Indonesia	Mori Atas	Mori Atas	Alkitab Tambee	Mori Atas NT+	mzq
Indonesia	Nggem	Nggem	Ala wene Nggem enane vaga dirup warek	Nggem NT	nbq
Indonesia	Nuaulu, South	Nuaulu, South	Anahatana ne Anamanaya tau Sou Naunue	South Nuaulu Bible	nxl
Indonesia	Orya	Orya	Orya	Orya NT	ury
Indonesia	Padoe	Padoe	Akitab Padoe	Padoe NT+	pdo
Indonesia	Rote Rikou	Rikou	Rote Rikou Alkitab	Rote Rikou Bible	rgu
Indonesia	Selaru	Selaru	Maslyarw	Selaru: Maslyarw (New Testament+)	slu
Indonesia	Sentani	Sentani	Sentani: Allahle a neme heteungekoke homofae	Sentani NT	set
Indonesia	Tutun Belu	Tetun	Tetun Alkitab	Tetun Bible	tet
Indonesia	Rote Tii	Tii	Rote Tii Alkitab	Rote Tii Bible	txq
Indonesia	Wolio	Wolio	Kitabi Momangkilona Wolio	Wolio: Kitabi Momangkilona Wolio (New Testament+)	wlo
Indonesia	Mek Kosarek	Yale, Kosarek	Allah Yubu	Mek Kosarek Bible	kkl
Indonesia	Yawa	Yawa	Yawa	Yawa NT+	yvaNT
Iran	Azeri	Azerbaijani, South	Azərbaycan dilində Müqəddəs Kitab	Azerbaijani Bible	azb
Iran	Gilaki	Gilaki	Gilaki John	Gilaki John	glk
Iran	فارسی	Iranian Persian	Biblica® Open Persian Contemporary Bible 2022	Open Persian Contemporary Bible	pesopcb
Iran	فارسی	Persian	ترجمه قدیم	Old Persion Version Bible	pesOPV
Iraq	ܐܵܬ݂ܘܼܪܵܝܲܐ ܠܸܫܵܢܵܐ	Assyrian Neo-Aramaic	ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ	Assyrian Neo-Aramaic NT+Psalms	aii
Iraq	كوردی سۆرانی	Central Kurdish	Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر	Kurdish Sorani Bible	ckb
Israel	עברית	Hebrew	Biblica®‎ ‫הברית החדשה/הדרך זכויות פתוחות	Hebrew Living NT	heblb
Israel	עברית	Hebrew	כתבי הקודש	Hebrew Masoretic OT	hbo
Israel	עברית	Hebrew	תנ ך עברי מודרני	Modern Hebrew Bible	heb
Israel	עברית	Hebrew	הברית החדשה של סלקינסון	Salkinson Hebrew NT	hebsg
Israel	עברית	Hebrew	כתבי הקודש	Westminster Leningrad Codex Hebrew OT	hboWLC
Israel	יידיש מזרחית	Yiddish, Eastern	דער ארטאדאקסישע יידישער ברית חדשה	Eastern Yiddish NT	ydd
Israel	עברית	עברית	Westminster Leningrad Codex	Hebrew OT (WLC)	hebwlc
Italy	Italiano	Italian	Diodati Bibbia 1885	Italian Diodati Bible	ita1885
Italy	lingua italiana	Italian	Riveduta Bibbia 1927	Italian Riveduta Bible	ita1927
Japan	日本語	Japanese	新改訳新約聖書(1965年版)	New Japanese NT	jpn1965
Kenya	Digo	Chidigo	Digo	Digo Bible	dig
Kenya	Dholuo	Dholuo	Biblica® Ochiw Thuolo Motingʼo Loko Manyien™	Dholuo Bible	luo
Kenya	Ekegusii	Ekegusii	EBIBILIA ENCHENU	Ekegusii Revised Bible	guz
Kenya	Kikuyu	Gikuyu	Biblica® Kiugo Gĩtheru Kĩa Ngai Kĩhingũre	Kikuyu Bible	kik
Kenya	Giryama	Giryama	Kilagane Kisha (Kenya)	Kigiryama: Kilagane Kisha NT	nyf
Kenya	Sabaot	Sabaot	Biibilya Nyēē Tiliil	Sabaot NT	spyNT
Kenya	Suba	Suba	Endagano Empia	Suba NT	sxbNT
Kenya	Kiswahili	Swahili	Biblica® Toleo Wazi Neno: Bibilia Takatifu™	Kiswahili Contemporary Version	swhonen
Laos	Brao	Brao	ព្រះគម្ពីរ ព្រៅ	Brao Cambodia NT	brb
Laos	Eastern Bru	Eastern Bru	Parnai Yiang Sursĩ - Kinh Thánh tiếng Bru	Bru, Eastern: Parnai Yiang Sursĩ - Kinh Thánh tiếng Bru Bible	bru
Laos	Northern Katang	Northern Katang	ປັຣນາຍ ເຢືາງ ເຈົາຣາຊີ  ປັຣຄັນ ຕາໄມ ປັຣນາຍ ກາຕາງ (ພາສາກາຕາງ)	Northern Katang Bible	ncq
Laos	Pacoh (Cado)	Pacoh (Cado)	Pacoh, Cado	Pacoh NT	pac
Lebanon	العربية	Arabic	الكتاب المقدس باللغة العربية، فان دايك	Arabic Van Dyck Bible	arb-vd
Lithuania	Lietuvių	Lietuvių	Biblica® Naudojimo teisės atviros „Jėzus ir Jo pasekėjai“	Open Lithuanian Scriptures	litb
Lithuania	lietuvių	Lithuanian	Tikinčiųjų paveldo vertimas	Lithuanian Believers' Heritage Translation	lit
Madagascar	Tandroy	Malagasy, Tandroy-Mahafaly	Saontsin’ Añahare	Tandroy Bible	tdx
Malawi	Chichewa	Chichewa	Biblica® Tsekulani Mawu a Mulungu mu Chichewa Chalero	Chichewa Bible	nya
Malawi	Ciyawo	Chiyawo	Lilangano lya Sambano	Yao NT	yao
Malaysia	Banjar	Banjar	Bahasa Banjar	Jon, Rut	bjn
Malaysia	Bahasa Malaysia	Malay	Kitab Suci Zabur dan Injil	Contextualized Malay NT	zlmKSZI
Maldives	Dhivehi	Dhivehi	ކިތާބުލް މުޤައްދަސް	Maldivian: ކިތާބުލް މުޤައްދަސް NT	div
Mali	Maasina Fulfulde	Fulfulde, Maasina	Aadi keyri: linjiila iisaa almasiihu	Maasina Fulfulde NT	ffm
Mali	Mamara Sénoufo	Sénoufo, Mamara	KARIƝƐƐGƐ ƝƆMƐƐ NIVONƆ	Mamara Sénoufo NT and portions of the OT	myk
Mali	Supyire Sénoufo	Sénoufo, Supyire	KILE JWUMPE SEMƐŊI JWUMPE NINTANMPE	Supyire Sénoufo NT	spp
Mali	Songhai de Gao	Songhai de Gao	Songhai de Gao	Songhai de Gao Bible	ses
Mali	Tamasheq	Tamasheq	Tamasheq	Tamasheq NT	taq
Mauritania	Hassaniyya	Hassaniyya	اكتاب مولانا المقدس	Hassaniyya Bible	mey
Mexico	Guerrero Amuzgo	Amuzgo, Guerrero	Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo	New Testament in Amuzgo, Guerrero (MX:amu:Amuzgo, Guerrero)	amuNT
Mexico	Amuzgo, San Pedro Amuzgos	Amuzgo, San Pedro Amuzgos	Jnʼoon xco na tquen tyoʼtsʼon	San Pedro Amuzgos NT	azgNT
Mexico	Ayutla Mixtec	Ayutla Mixtec	El Nuevo Testamento en el Mixteco de Ayutla	Mixtec, Ayutla: El Nuevo Testamento en el Mixteco de Ayutla New Testament	miy
Mexico	Nopala Chatino	Chatino, Nopala	El Nuevo Testamento	Nopala Chatino NT	cya
Mexico	Chatino, Tataltepec	Chatino, Tataltepec	Chaʼ tsoʼo nu nchcuiʼ jiʼi̱ Jesucristo nu xuʼna na	Tataltepec Chatino NT	ctaNT
Mexico	Chatino, Western Highland	Chatino, Western Highland	Chaʼ suʼwe nu nchkwiʼ chaʼ ʼin Jesucristo nu nka xʼnaan	Western Highland Chatino NT	ctpNT
Mexico	Chinantec, Comaltepec	Chinantec, Comaltepec	Júu ʼmɨ́ɨ e cacuo fidiée	Comaltepec Chinantec NT	ccoNT
Mexico	Chinantec, Lalana	Chinantec, Lalana	Júu² 'mɨɨn³² 'e³ ca²³ŋɨń² Dios	Lalana Chinantec NT	cnlNT
Mexico	Chinantec, Lealao	Chinantec, Lealao	Ja̱³la³ fáh⁴dxa⁴²dxú⁴ hi³mɨɨ³² chiáh² Ñúh³a² Jesucristo; Salmos	Lealao Chinantec NT	cleNT
Mexico	Chinantec, Ozumacín	Chinantec, Ozumacín	Hmooh hmëë he- ga-jmee Jesucristo; Salmos	Ozumacín Chinantec NT	chzNTps
Mexico	Chinantec, Palantla	Chinantec, Palantla	El Nuevo Testamento de nuestro señor Jesucristo: Versión chinanteca	Palantla Chinantec NT	cpaNT
Mexico	Chinantec, Quiotepec	Chinantec, Quiotepec	Juu³ tyʉ² ʼe gafaaʼ²¹ Dios tyaʼ tsá²	Quiotepec Chinantec NT	chqNT
Mexico	Chinantec, Sochiapam	Chinantec, Sochiapam	Jú¹ chú³² quioh²¹ Jesús tsá² lɨn³ Cristo	Sochiapam Chinantec NT	csoNT
Mexico	Chinantec, Tepetotutla	Chinantec, Tepetotutla	Jag₁ ʼmɨ́₂ a₂ma₂lɨʼ₅₄ quianʼ₅₄ Diu₄	Tepetotutla Chinantec NT	cntNT
Mexico	Chinantec, Usila	Chinantec, Usila	Jau²³ hm²³ i⁴ra³tya²³ nei² quieh¹ re¹ Jesucristo quian⁴-¹	Usila Chinantec NT	cucNT
Mexico	Chol de Tila	Chol	JINI WEN BΛ T'AN	Chol de Tila Bible	ctucti
Mexico	Chol	Chol	Jini wen bʌ tʼan	Chol NT	ctu76
Mexico	Chol	Chol	I T’an Dios	Chol Tumbala Bible	ctuBl
Mexico	Chontal, Highland Oaxaca	Chontal, Highland Oaxaca	Lataiquiʼ loyaʼapa iƚe al cʼa lixpicʼepa L̵anDios	Highland Oaxaca Chontal NT	chdNT
Mexico	Chontal, Tabasco	Chontal, Tabasco	U Chʼuʼul Tʼan Dios	Tabasco Chontal NT	chfNT
Mexico	Cora, El Nayar	Cora, El Nayar	Ɨ niuucari tɨ jejcua, tɨ ajta jɨme'en ra'axa a'ɨjna ɨ tavastara'a, ɨ Cɨriistu'u tɨ ji'i Jesús tɨ̀ tu'irájtuaa	El Nayar Presidio De Los Reyes Cora NT	crnNT
Mexico	Cora, Santa Teresa	Cora, Santa Teresa	Cora, Santa Teresa	Santa Teresa Cora Bible	cok
Mexico	Cuicatec, Tepeuxila	Cuicatec, Tepeuxila	Nduudu nʼdai yeⁿʼe Ndyuūs yeⁿʼe cuicateco yeⁿʼe Tepeuxila	Tepeuxila Cuicatec NT	cuxNT
Mexico	Cuicatec, Teutila	Cuicatec, Teutila	El Nuevo Testamento: Cuicateco de Teutila	Teutila NT	cutNT
Mexico	Español	Español	Biblica® Open Nueva Biblia Viva 2008	Spanish ONBV	spaonbv
Mexico	Guevea De Humboldt Zapotec	Guevea De Humboldt Zapotec	Zapoteco, Guevea de Humboldt NT	Zapotec, Guevea de Humboldt: Zapoteco, Guevea de Humboldt NT (New Testament)	zpg
Mexico	Huarijio	Huarijio	Riosia Warijio Nayewani Ahpo Tisiwa Kaaweruma Tuuyewari	Huarijío: Riosia Warijio Nayewani Ahpo Tisiwa Kaaweruma Tuuyewari New Testament	var
Mexico	Huastec	Huastec	Nin tének káwintal an okˀóxláb	Huastec Aquiche NT	husNT2005
Mexico	Huastec	Huastec	An it jilchith cau cʼal i Ajatic Jesucristo	Huastec San Luis Potosi NT	husNT1971
Mexico	Huave, San Mateo Del Mar	Huave, San Mateo Del Mar	Jayats nanderac wüx miteatiiüts Jesucristo	San Mateo Del Mar Huave NT	huvNT
Mexico	Huichol	Huichol	KAKAƗYARI NIUKIEYA XAPAYARI WIXARIKAKƗ	Huichol Bible 2020	hch
Mexico	Huichol	Huichol	Cacaüyari niuquieya xapayari türatu hecuame hepaüsita tatiʼaitüvame tasivicueisitüvame Quesusi Cürisitu miʼatüa	Huichol NT 1988	hchNT
Mexico	Lacandon	Lacandon	Lacandon	Lacandon NT	lacNT
Mexico	Mayo	Mayo	Mayo	Mayo NT	mfy
Mexico	Mazahua, Central	Mazahua, Central	Nu o̱ jña mizhocjimi nu mama ja ga cja e Jesucristo	Central Mazahua NT	mazNT
Mexico	Mazatec, Chiquihuitlán	Mazatec, Chiquihuitlán	Compromisu xi majo xi casahmi nina cojo xuta (El Nuevo Testamento en el mazateco de Chiquihuitlán de Juárez ... y en español)	Chiquihuitlán Mazatec NT	maqNT
Mexico	Mazatec, Huautla	Mazatec, Huautla	Xon⁴-le⁴ ni³na¹ xi³ tʔa³tsʔe⁴ Jesucristo	Huautla Mazatec NT	mauNT
Mexico	Mazatec, Jalapa de Díaz	Mazatec, Jalapa de Díaz	Éhe̱n Nti̱a̱ná	Jalapa de Díaz Mazatec NT	majNT
Mexico	Mazatec, San Jerónimo Tecóatl	Mazatec, San Jerónimo Tecóatl	Mazatec, San Jerónimo Tecóatl	San Jerónimo Tecóatl Mazatec NT	maaNT
Mexico	Mazateco, Ayautla	Mazateco, Ayautla	El Nuevo Testamento Mazateco de Ayautla	NT in Ayautla Mazateco	vmyNT
Mexico	Me'phaa Xma'íín (Teocuitlapa)	Me'phaa Xma'íín (Teocuitlapa)	Me'phaa Xma'íín (Teocuitlapa)	Acatepec Me’phaa Jonah	tpx
Mexico	Metlatónoc Mixtec	Metlatónoc Mixtec	Mixteco, Metlatónoc	Mayogo NT	mxv
Mexico	Coatlán Mixe	Mixe, Coatlán	El Nuevo Testamento en mixe de Coatlán	Coatlán Mixe NT	mcoNT
Mexico	Mixe, Isthmus	Mixe, Isthmus	El Nuevo Testamento en mixe de Guichicovi	Isthmus Mixe NT	mirNT
Mexico	Mixe, Juquila	Mixe, Juquila	Ja jembyʉ kajxy'átypyʉ mʉdʉ Jesukristʉkyʉjxm: El Nuevo Testamento de nuestro Señor Jesucristo en el mixe de Juquila	Juquila Mixe NT	mxqNT
Mexico	Mixe, Tlahuitoltepec	Mixe, Tlahuitoltepec	Ja øgyajpxy ja ømyadya̱ʼa̱ky midi xukpa̱a̱jtɨmp ja nɨtsoʼokʼajtɨn	Tlahuitoltepec Mixe NT	mxpNT
Mexico	Totontepec Mixe,	Mixe, Totontepec	Ya̱ʼa̱ tseʼe je̱ nam ko̱jtstán juuʼ veʼe je̱ Nteʼyamˍ xyaktaajnjimdu je̱ nMa̱j Vintsá̱namda Jesucristo ka̱jx	Totontepec Mixe NT	mtoNT
Mexico	Mixtec, Alacatlatzala	Mixtec, Alacatlatzala	Alacatlatzala Mixtec New Testament	Alacatlatzala Mixtec NT+	mim
Mexico	Mixtec, Atatláhuca	Mixtec, Atatláhuca	Nuevo Testamento en mixteco	Atatláhuca Mixtec	mibNT
Mexico	Mixtec, Chayuco	Mixtec, Chayuco	Tuhun Ndyoo sihin tyehen ñi	Chayuco Mixtec NT	mihNT
Mexico	Mixtec, Coatzospan	Mixtec, Coatzospan	Tūʼún xuva kō vatā ó ntákaʼan ña ñuú Coatzospan	Coatzospan Mixtec NT	mizNT
Mexico	Mixtec, Diuxi-tilantongo	Mixtec, Diuxi-tilantongo	Tnuʼu vaʼa tnuʼu Jesucristo	Diuxi-tilantongo Mixtec NT	xtdNT
Mexico	Mixtec, Jamiltepec	Mixtec, Jamiltepec	Tuhun cha sañahá ra Jesucristo chi yo	Jamiltepec Mixtec NT	mxtNT
Mexico	Mixtec, Magdalena Peñasco	Mixtec, Magdalena Peñasco	Tnu'u vii tnu'u va'a Su'si ma	Magdalena Peñasco Mixtec Bible	xtmNTpp
Mexico	Northern Tlaxiaco Mixtec	Mixtec, Northern Tlaxiaco	Mixtec, Northern Tlaxiaco	Northern Tlaxiaco Mixtec Bible	xtn
Mexico	Mixtec, Ocotepec	Mixtec, Ocotepec	Nuevo Testamento en mixteco de Ocotepec	Ocotepec Mixtec	mieNT
Mexico	Mixtec, Peñoles	Mixtec, Peñoles	Tnúhu ní cáháⁿ yǎ ndiǒxí xito cùu uú	Peñoles Mixtec NT	milNT
Mexico	Mixtec, Pinotepa Nacional	Mixtec, Pinotepa Nacional	Tutu chaa cha iyo cuenda ra hahnu Jesucristo (El Nuevo Testamento de nuestro señor Jesucristo)	Pinotepa Nacional Mixtec NT	mioNT
Mexico	Mixtec, San Juan Colorado	Mixtec, San Juan Colorado	Tuhun tsaa tsa nacoo̱ jutu mañi yo Jesucristo tsi yo	San Juan Colorado Mixtec NT	mjcNT
Mexico	Mixtec, San Miguel el Grande	Mixtec, San Miguel el Grande	Mixtec, San Miguel el Grande	San Miguel el Grande Mixtec NT	migNT
Mexico	Mixtec, Santa María Zacatepec	Mixtec, Santa María Zacatepec	Mixtec, Santa María Zacatepec	Mixteco, Santa María Zacatepec NT	mza
Mexico	Mixtec, Silacayoapan	Mixtec, Silacayoapan	Tu̱hun sa̱á ña̱ na̱jándacoo Jesucristo nu̱ yo̱: El Nuevo Testamento en el mixteco de Silacayoapan	Silacayoapan Mixtec NT	mksNT
Mexico	Mixtec, Southern Puebla	Mixtec, Southern Puebla	Ley saa ni nacoo Jesucristu	New Testament in Mixtec, Southern Puebla (MX:mit:Mixtec, Southern Puebla)	mitNT
Mexico	Mixtec, Tezoatlán	Mixtec, Tezoatlán	Tuti yó'o kúú to̱'on Ndios, ta xí'o ña kuendá sa'a̱ Jesús	Tezoatlán Mixtec NT	mxbNT
Mexico	Mixtec, Yosondúa	Mixtec, Yosondúa	Nuevo Testamento en mixteco de Yosondúa	Yosondúa Mixtec NT	mpmNT
Mexico	Nahuatl	Nahuatl	Itlajtol Totajtzin Dios	Sierra Negra Nahuatl NT	nsu
Mexico	Nahuatl,  Huasteca Occidental	Nahuatl,  Huasteca Occidental	Icamanal toteco; Santa Bíblia	Huasteca Occidental Nahuatl Bible	nhwBl
Mexico	Nahuatl,  Huasteca Oriental	Nahuatl,  Huasteca Oriental	Ya ni nopa yancuic tlajtoli tlen toteco toca mocajtoc; El Nuevo Testamento de nuestro Señor Jesucristo en el náhuatl de la Huasteca Oriental	Huasteca Oriental Nahuatl NT 2009	nheNT
Mexico	Nahuatl, Guerrero	Nahuatl, Guerrero	In yencuic iyectlajtoltzin Dios itech ica toTeco Jesucristo	Guerrero Nahuatl NT	nguNT
Mexico	Nahuatl, Highland Puebla	Nahuatl, Highland Puebla	In cuali tajtoltzin de Dios	Highland Puebla Nahuatl NT	azzNT
Mexico	Nahuatl, Huasteca Central	Nahuatl, Huasteca Central	Icamanal toteco; Santa Biblia	Huasteca Central Nahuatl Bible	nchBl
Mexico	Nahuatl, Huasteca Oriental	Nahuatl, Huasteca Oriental	Itlajtol toteco: Santa Biblia	Huasteca Oriental Nahuatl Bible 2005	nheBl
Mexico	Nahuatl, Isthmus-Mecayapan	Nahuatl, Isthmus-Mecayapan	Isthmus-Mecayapan Nahuatl	Nahuatl, Isthmus-Mecayapan: Itájto̱l toTe̱ko ipan melaꞌtájto̱l New Testament	nhx
Mexico	Nahuatl, Michoacán	Nahuatl, Michoacán	Ilajtulisli Yancuic toTata Jesucristo	Michoacán Nahuatl NT	nclNT
Mexico	Nahuatl, Northern Oaxaca	Nahuatl, Northern Oaxaca	Itlajtol totajtzin Dios = El Nuevo Testamento	Northern Oaxaca Nahuatl NT	nhyNT
Mexico	Nahuatl, Northern Puebla	Nahuatl, Northern Puebla	In yancuic mononotzalistli ica Totecohtzin Jesucristo	Northern Puebla Nahuatl NT	ncjNT
Mexico	Nahuatl, Southeastern Puebla	Nahuatl, Southeastern Puebla	Itlajtol Totajtsi Dios	Southeastern Puebla Nahuatl NT	nplNT
Mexico	Nahuatl, Tetelcingo	Nahuatl, Tetelcingo	El Nuevo Testamento en nahuatl de Tetelcingo	Tetelcingo Nahuatl NT	nhgNT
Mexico	Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla	Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla	In Yancuic Tlahtolsintilil	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl NT	nhiNT
Mexico	Otomi, Eastern Highland	Otomi, Eastern Highland	Ra ʼdaʼyonhogui nangue ma Hmuhʉ ra Jesucristo	Eastern Highland Otomi NT	otmNT
Mexico	Otomi, Estado de México	Otomi, Estado de México	El Nuevo Testamento en otomí de San Felipe Santiago, Edo. de México	Estado de México Otomi NT	otsNT
Mexico	Otomi, Mezquital	Otomi, Mezquital	Ra 'Ra'yo Testamento	Mezquital Otomi NT	oteNT
Mexico	Otomi, Querétaro	Otomi, Querétaro	Àr 'ra'yo nkohi Jö har ñhöñhö maxei nto̱ngwi ár mahwifi har ha̱i m'onda ne har ñhömfo̱	Querétaro Otomi NT	otqNT
Mexico	Otomi, Tenango	Otomi, Tenango	Ja ua ra̱ ʼdaʼyo cohi bi gomi̱ Oja̱ yø ja̱ʼi̱	Tenango Otomi NT	otnNT
Mexico	Popoloca, San Juan Atzingo	Popoloca, San Juan Atzingo	Tí Nuevo Testamento cuènte Inchéni Jesucristo Cʼóna Nquìva	San Juan Atzingo Popoloca NT	poeNT
Mexico	Popoloca, San Luís Temalacayuca	Popoloca, San Luís Temalacayuca	Popoloca, San Luís Temalacayuca	Popoloca, San Luís Temalacayuca: Chijnie ndo Jesucristo New Testament	pps
Mexico	San Marcos Tlalcoyalco  Popoloca	Popoloca, San Marcos Tlalcoyalco	Tti jian joajné Jesucristo	San Marcos Tlalcoyalco Popoloca NT	plsNT
Mexico	Popoluca, Highland	Popoluca, Highland	Jém jomipɨc trato jém iwatnewɨɨp tánomi Jesucristo	Highland Popoluca NT	poiNT
Mexico	San Martín Itunyoso Triqui	San Martín Itunyoso Triqui	Triqui, Itunyoso	Triqui, San Martín Itunyoso: Si-nu̱guanꞌ Yanꞌanj Xa̱ngaꞌ NT	trq
Mexico	Español	Spanish	La Biblia en Español Sencillo	La Biblia en Español Sencillo	spabes
Mexico	Español	Spanish	Palabra de Dios para ti	Spanish Bible (God's Word for You)	spapddpt
Mexico	Tarahumara, Western	Tarahumara, Western	Onorúgame nila ra'íchali	Western Tarahumara NT	tacNT
Mexico	Tepehua, Huehuetla	Tepehua, Huehuetla	Ixchivinti Dios	Huehuetla Tepehua NT	teeNT
Mexico	Tepehua, Pisaflores	Tepehua, Pisaflores	Tepehua, Pisaflores	Pisaflores Tepehua NT	tpp
Mexico	Tepehua, Tlachichilco	Tepehua, Tlachichilco	Ixchivinti Dios: ni sastʼi chivinti yu Dios jatʼatamakaul ixlapanakni laka lhimasipijni	Tlachichilco Tepehua NT	tptNT
Mexico	Tepehuan, Northern	Tepehuan, Northern	Diuusi ñiooquidʌ utuducami oodamicʌdʌ	Northern Tepehuan NT	ntpNT
Mexico	Tepehuan, Southeastern	Tepehuan, Southeastern	Gu ñio'ki'ñ gu Dios na bhaan tu a'ga guch xoi'kam	Southeastern Tepehuan NT	stpNT
Mexico	Tojolabal	Tojolabal	Ja yajcʼachil testamento sbaj ja cajualtic Jesucristo	Tojolabal NT	tojNT
Mexico	Totonac, Coyutla	Totonac, Coyutla	Xasasti talacaxlan	Coyutla Totonac NT	tocNT
Mexico	Totonac, Highland	Totonac, Highland	Hua̱ xasa̱sti talacca̱xlan quinTla̱tican Jesucristo	Highland Totonac NT	tosNT
Mexico	Totonac, Papantla	Totonac, Papantla	Xasasti talaccaxlan	Papantla Totonac NT	topNT
Mexico	Totonac, Upper Necaxa	Totonac, Upper Necaxa	Xasāstiʼ testamento (Xatze tachihuīn ixpālacata Jesucristo)	Upper Necaxa Totonac	tkuNT
Mexico	Totonac, Xicotepec De Juárez	Totonac, Xicotepec De Juárez	Huan Xasāstiʼ testamento: Huan xatzey tachihuīn ixpālacata Jesucristo	Xicotepec De Juárez Totonac NT	tooNT
Mexico	Triqui, Copala	Triqui, Copala	Se-nānā Diosē nanā sāʼ me rá catūū nimán níʼ a	Copala Triqui NT	trcNT
Mexico	Tzotzil	Tzotzil	Tzotzil, San Andres	San Andres Tzotzil NT	tzoSA
Mexico	Tzotzil de Chamula	Tzotzil	TI ACHꞌ REXTOMENTO YUꞌUN TI JESUCRISTOE	Tzotzil de Chamula NT	tzotzc
Mexico	Tzotzil de Chenalhó	Tzotzil	ACH' TESTAMENTO	Tzotzil de Chenalhó NT	tzotze
Mexico	Tzotzil	Tzotzil	Jaʼ ti achʼ Testamento: jaʼ scʼopilal ti Jesucristoe jaʼ ti Jcoltavanej cuʼuntique	Tzotzil Huixtan NT	tzoNT
